Time_index,Time,Strain
20100619040000,2010-06-19 04:00:00,-8
20100620040000,2010-06-20 04:00:00,-6
20100621040000,2010-06-21 04:00:00,-6
20100622040000,2010-06-22 04:00:00,0
20100623040000,2010-06-23 04:00:00,9
20100624040000,2010-06-24 04:00:00,10
20100625040000,2010-06-25 04:00:00,29
20100626040000,2010-06-26 04:00:00,11
20100627040000,2010-06-27 04:00:00,14
20100628040000,2010-06-28 04:00:00,2
20100629040000,2010-06-29 04:00:00,20
20100630040000,2010-06-30 04:00:00,24
20100701040000,2010-07-01 04:00:00,19
20100702040000,2010-07-02 04:00:00,17
20100703040000,2010-07-03 04:00:00,50
20100704040000,2010-07-04 04:00:00,37
20100705040000,2010-07-05 04:00:00,19
20100706040000,2010-07-06 04:00:00,31
20100707040000,2010-07-07 04:00:00,26
20100708040000,2010-07-08 04:00:00,30
20100709040000,2010-07-09 04:00:00,13
20100710040000,2010-07-10 04:00:00,33
20100711040000,2010-07-11 04:00:00,39
20100712040000,2010-07-12 04:00:00,39
20100713040000,2010-07-13 04:00:00,67
20100714040000,2010-07-14 04:00:00,35
20100715040000,2010-07-15 04:00:00,65
20100716040000,2010-07-16 04:00:00,49
20100717040000,2010-07-17 04:00:00,41
20100718040000,2010-07-18 04:00:00,43
20100719040000,2010-07-19 04:00:00,32
20100720040000,2010-07-20 04:00:00,47
20100721040000,2010-07-21 04:00:00,53
20100722040000,2010-07-22 04:00:00,63
20100723040000,2010-07-23 04:00:00,33
20100724040000,2010-07-24 04:00:00,35
20100725040000,2010-07-25 04:00:00,-5
20100726040000,2010-07-26 04:00:00,27
20100727040000,2010-07-27 04:00:00,33
20100728040000,2010-07-28 04:00:00,11
20100729040000,2010-07-29 04:00:00,19
20100730040000,2010-07-30 04:00:00,38
20100731040000,2010-07-31 04:00:00,38
20100801040000,2010-08-01 04:00:00,46
20100802040000,2010-08-02 04:00:00,30
20100803040000,2010-08-03 04:00:00,30
20100804040000,2010-08-04 04:00:00,38
20100805040000,2010-08-05 04:00:00,30
20100806040000,2010-08-06 04:00:00,31
20100807040000,2010-08-07 04:00:00,19
20100808040000,2010-08-08 04:00:00,31
20100809040000,2010-08-09 04:00:00,35
20100810040000,2010-08-10 04:00:00,41
20100811040000,2010-08-11 04:00:00,46
20100812040000,2010-08-12 04:00:00,38
20100813040000,2010-08-13 04:00:00,39
20100814040000,2010-08-14 04:00:00,31
20100815040000,2010-08-15 04:00:00,26
20100816040000,2010-08-16 04:00:00,50
20100817040000,2010-08-17 04:00:00,45
20100818040000,2010-08-18 04:00:00,37
20100819040000,2010-08-19 04:00:00,34
20100820040000,2010-08-20 04:00:00,47
20100821040000,2010-08-21 04:00:00,46
20100822040000,2010-08-22 04:00:00,50
20100823040000,2010-08-23 04:00:00,41
20100824040000,2010-08-24 04:00:00,46
20100825040000,2010-08-25 04:00:00,37
20100826040000,2010-08-26 04:00:00,45
20100827040000,2010-08-27 04:00:00,16
20100828040000,2010-08-28 04:00:00,22
20100829040000,2010-08-29 04:00:00,29
20100830040000,2010-08-30 04:00:00,-5
20100831040000,2010-08-31 04:00:00,10
20100901040000,2010-09-01 04:00:00,8
20100902040000,2010-09-02 04:00:00,-1
20100903040000,2010-09-03 04:00:00,-11
20100904040000,2010-09-04 04:00:00,-6
20100905040000,2010-09-05 04:00:00,-14
20100906040000,2010-09-06 04:00:00,8
20100907040000,2010-09-07 04:00:00,10
20100908040000,2010-09-08 04:00:00,11
20100909040000,2010-09-09 04:00:00,3
20100910040000,2010-09-10 04:00:00,7
20100911040000,2010-09-11 04:00:00,22
20100912040000,2010-09-12 04:00:00,30
20100913040000,2010-09-13 04:00:00,28
20100914040000,2010-09-14 04:00:00,38
20100915040000,2010-09-15 04:00:00,32
20100916040000,2010-09-16 04:00:00,34
20100917040000,2010-09-17 04:00:00,34
20100918040000,2010-09-18 04:00:00,32
20100919040000,2010-09-19 04:00:00,26
20100920040000,2010-09-20 04:00:00,24
20100921040000,2010-09-21 04:00:00,35
20100922040000,2010-09-22 04:00:00,4
20100923040000,2010-09-23 04:00:00,27
20100924040000,2010-09-24 04:00:00,31
20100925040000,2010-09-25 04:00:00,36
20100926040000,2010-09-26 04:00:00,30
20100927040000,2010-09-27 04:00:00,23
20100928040000,2010-09-28 04:00:00,3
20100929040000,2010-09-29 04:00:00,-9
20100930040000,2010-09-30 04:00:00,-8
20101001040000,2010-10-01 04:00:00,6
20101002040000,2010-10-02 04:00:00,6
20101003040000,2010-10-03 04:00:00,15
20101004040000,2010-10-04 04:00:00,36
20101005040000,2010-10-05 04:00:00,24
20101006040000,2010-10-06 04:00:00,32
20101007040000,2010-10-07 04:00:00,15
20101008040000,2010-10-08 04:00:00,31
20101009040000,2010-10-09 04:00:00,14
20101010040000,2010-10-10 04:00:00,-14
20101011040000,2010-10-11 04:00:00,5
20101012040000,2010-10-12 04:00:00,-8
20101013040000,2010-10-13 04:00:00,-12
20101014040000,2010-10-14 04:00:00,12
20101015040000,2010-10-15 04:00:00,-7
20101016040000,2010-10-16 04:00:00,-5
20101017040000,2010-10-17 04:00:00,-13
20101018040000,2010-10-18 04:00:00,26
20101019040000,2010-10-19 04:00:00,16
20101020040000,2010-10-20 04:00:00,9
20101021040000,2010-10-21 04:00:00,-2
20101022040000,2010-10-22 04:00:00,11
20101023040000,2010-10-23 04:00:00,17
20101024040000,2010-10-24 04:00:00,11
20101025040000,2010-10-25 04:00:00,11
20101026040000,2010-10-26 04:00:00,-4
20101027040000,2010-10-27 04:00:00,-7
20101028040000,2010-10-28 04:00:00,6
20101029040000,2010-10-29 04:00:00,9
20101030040000,2010-10-30 04:00:00,20
20101031040000,2010-10-31 04:00:00,11
20101101040000,2010-11-01 04:00:00,12
20101102040000,2010-11-02 04:00:00,5
20101103040000,2010-11-03 04:00:00,10
20101104040000,2010-11-04 04:00:00,14
20101105040000,2010-11-05 04:00:00,19
20101106040000,2010-11-06 04:00:00,10
20101107040000,2010-11-07 04:00:00,-13
20101108040000,2010-11-08 04:00:00,-10
20101109040000,2010-11-09 04:00:00,22
20101110040000,2010-11-10 04:00:00,14
20101111040000,2010-11-11 04:00:00,4
20101112040000,2010-11-12 04:00:00,15
20101113040000,2010-11-13 04:00:00,13
20101114040000,2010-11-14 04:00:00,11
20101115040000,2010-11-15 04:00:00,12
20101116040000,2010-11-16 04:00:00,3
20101117040000,2010-11-17 04:00:00,2
20101118040000,2010-11-18 04:00:00,19
20101119040000,2010-11-19 04:00:00,27
20101120040000,2010-11-20 04:00:00,26
20101121040000,2010-11-21 04:00:00,10
20101122040000,2010-11-22 04:00:00,12
20101123040000,2010-11-23 04:00:00,28
20101124040000,2010-11-24 04:00:00,17
20101125040000,2010-11-25 04:00:00,15
20101126040000,2010-11-26 04:00:00,-6
20101127040000,2010-11-27 04:00:00,6
20101128040000,2010-11-28 04:00:00,-1.0
20101129040000,2010-11-29 04:00:00,21
20101130040000,2010-11-30 04:00:00,6
20101201040000,2010-12-01 04:00:00,4
20101202040000,2010-12-02 04:00:00,5
20101203040000,2010-12-03 04:00:00,5
20101204040000,2010-12-04 04:00:00,-11
20101205040000,2010-12-05 04:00:00,-4
20101206040000,2010-12-06 04:00:00,6
20101207040000,2010-12-07 04:00:00,3
20101208040000,2010-12-08 04:00:00,4
20101209040000,2010-12-09 04:00:00,10
20101210040000,2010-12-10 04:00:00,-20
20101211040000,2010-12-11 04:00:00,6
20101212040000,2010-12-12 04:00:00,17
20101213040000,2010-12-13 04:00:00,-6
20101214040000,2010-12-14 04:00:00,-1
20101215040000,2010-12-15 04:00:00,-2
20101216040000,2010-12-16 04:00:00,-2
20101217040000,2010-12-17 04:00:00,0
20101218040000,2010-12-18 04:00:00,4
20101219040000,2010-12-19 04:00:00,12
20101220040000,2010-12-20 04:00:00,-10
20101221040000,2010-12-21 04:00:00,-16
20101222040000,2010-12-22 04:00:00,-17
20101223040000,2010-12-23 04:00:00,2
20101224040000,2010-12-24 04:00:00,12
20101225040000,2010-12-25 04:00:00,4
20101226040000,2010-12-26 04:00:00,-10
20101227040000,2010-12-27 04:00:00,-4
20101228040000,2010-12-28 04:00:00,12
20101229040000,2010-12-29 04:00:00,-6
20101230040000,2010-12-30 04:00:00,-12
20101231040000,2010-12-31 04:00:00,2
20110101040000,2011-01-01 04:00:00,-14
20110102040000,2011-01-02 04:00:00,11
20110103040000,2011-01-03 04:00:00,-14
20110104040000,2011-01-04 04:00:00,-8
20110105040000,2011-01-05 04:00:00,16
20110106040000,2011-01-06 04:00:00,23
20110107040000,2011-01-07 04:00:00,-2
20110108040000,2011-01-08 04:00:00,4
20110109040000,2011-01-09 04:00:00,3
20110110040000,2011-01-10 04:00:00,0
20110111040000,2011-01-11 04:00:00,5
20110112040000,2011-01-12 04:00:00,
