Time_index,Time,Strain,Temperature
20090720040000,2009-07-20 04:00:00,,
20090720080000,2009-07-20 08:00:00,,
20090720120000,2009-07-20 12:00:00,,
20090720160000,2009-07-20 16:00:00,,
20090720200000,2009-07-20 20:00:00,,
20090721000000,2009-07-21 00:00:00,,
20090721040000,2009-07-21 04:00:00,,
20090721080000,2009-07-21 08:00:00,,
20090721120000,2009-07-21 12:00:00,,
20090721160000,2009-07-21 16:00:00,,
20090721200000,2009-07-21 20:00:00,,
20090722000000,2009-07-22 00:00:00,,
20090722040000,2009-07-22 04:00:00,,
20090722080000,2009-07-22 08:00:00,,
20090722120000,2009-07-22 12:00:00,,
20090722160000,2009-07-22 16:00:00,,
20090722200000,2009-07-22 20:00:00,,
20090723000000,2009-07-23 00:00:00,,
20090723040000,2009-07-23 04:00:00,,
20090723080000,2009-07-23 08:00:00,,
20090723120000,2009-07-23 12:00:00,,
20090723160000,2009-07-23 16:00:00,,
20090723200000,2009-07-23 20:00:00,,
20090724000000,2009-07-24 00:00:00,,
20090724040000,2009-07-24 04:00:00,,
20090724080000,2009-07-24 08:00:00,,
20090724120000,2009-07-24 12:00:00,,
20090724160000,2009-07-24 16:00:00,,
20090724200000,2009-07-24 20:00:00,,
20090725000000,2009-07-25 00:00:00,,
20090725040000,2009-07-25 04:00:00,,
20090725080000,2009-07-25 08:00:00,,
20090725120000,2009-07-25 12:00:00,,
20090725160000,2009-07-25 16:00:00,,
20090725200000,2009-07-25 20:00:00,,
20090726000000,2009-07-26 00:00:00,,
20090726040000,2009-07-26 04:00:00,,
20090726080000,2009-07-26 08:00:00,,
20090726120000,2009-07-26 12:00:00,,
20090726160000,2009-07-26 16:00:00,,
20090726200000,2009-07-26 20:00:00,,
20090727000000,2009-07-27 00:00:00,,
20090727040000,2009-07-27 04:00:00,,
20090727080000,2009-07-27 08:00:00,,
20090727120000,2009-07-27 12:00:00,,
20090727160000,2009-07-27 16:00:00,,
20090727200000,2009-07-27 20:00:00,,
20090728000000,2009-07-28 00:00:00,,
